Row,1,2,3,4,5,6,7,8,9,10,11,12
A,DA1,DA2,DA3,DA4,DA5,DA6,DA7,DA8,DA9,DA10,DA11,YFB
B,DA1,DA2,DA3,DA4,DA5,DA6,DA7,DA8,DA9,DA10,DA11,YFB
C,DA1,DA2,DA3,DA4,DA5,DA6,DA7,DA8,DA9,DA10,DA11,YFB
D,J3,J2,119,anti+,opt+,soxs+,J3+,anti-,opt-,soxs-,J3-,blank
E,J3,J2,119,anti+,opt+,soxs+,J3+,anti-,opt-,soxs-,J3-,blank
F,J3,J2,119,anti+,opt+,soxs+,J3+,anti-,opt-,soxs-,J3-,blank
G,,,,,,,,,,,,
H,,,,,,,,,,,,
