Row,1,2,3,4,5,6,7,8,9,10,11,12
A,J2,J2,J2,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001
B,JN,JN,JN,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001
C,Bllux,Bllux,Bllux,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001
D,BL113,BL113,BL113,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001
E,BL115,BL115,BL115,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001
F,BL117,BL117,BL117,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001
G,BLp8,BLp8,BLp8,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001
H,119,119,119,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001,pWS001
