,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,e_1,e_2,e_3,e_4,e_5,e_6,blank
B,,,,,,e_1,e_2,e_3,e_4,e_5,e_6,blank
C,,,,,,e_1,e_2,e_3,e_4,e_5,e_6,blank
D,,,,,,e_1,e_2,e_3,e_4,e_5,e_6,blank
E,,p_1,p_2,p_3,p_4,p_5,,p_6,p_7,,,
F,,p_1,p_2,p_3,p_4,p_5,,p_6,p_7,,,
G,,p_1,p_2,p_3,p_4,p_5,,p_6,p_7,,,
H,,p_1,p_2,p_3,p_4,p_5,,p_6,p_7,,,
