,1,2,3,4,5,6,7,8,9,10,11,12
A,1G,2G,3G,4G,5G,6G,7G,,,,,
B,1G,2G,3G,4G,5G,6G,7G,,,,,
C,1G,2G,3G,4G,5G,6G,7G,,,,,
D,1A,2A,3A,4A,5A,,7A,,,,,
E,1A,2A,3A,4A,5A,,7A,,,,,
F,1A,2A,3A,4A,5A,,7A,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
