,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,blank,
E,,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,blank,
F,,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,blank,
G,,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,blank,
H,,,,,,,,,,,,
