,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,c_1,,c_2,c_3,c_4,c_5,c_6,,c_7,,
C,,c_1,,c_2,c_3,c_4,c_5,c_6,,c_7,,
D,,c_1,,c_2,c_3,c_4,c_5,c_6,,c_7,,
E,blank,i_1,i_2,i_3,,i_4,i_5,i_6,i_7,i_8,i_9,i_10
F,blank,i_1,i_2,i_3,,i_4,i_5,i_6,i_7,i_8,i_9,i_10
G,blank,i_1,i_2,i_3,,i_4,i_5,i_6,i_7,i_8,i_9,i_10
H,blank,i_1,i_2,i_3,,i_4,i_5,i_6,i_7,i_8,i_9,i_10
