,1,2,3,4,5,6,7,8,9,10,11,12
A,303_1,303_1,303_1,304_3,304_3,304_3,305_5,305_5,305_5,309_1,309_1,309_1
B,303_2,303_2,303_2,304_4,304_4,304_4,305_6,305_6,305_6,309_2,309_2,309_2
C,303_3,303_3,303_3,304_5,304_5,304_5,307_1,307_1,307_1,309_3,309_3,309_3
D,303_4,303_4,303_4,304_6,304_6,304_6,307_2,307_2,307_2,309_4,309_4,309_4
E,303_5,303_5,303_5,305_1,305_1,305_1,307_3,307_3,307_3,309_5,309_5,309_5
F,303_6,303_6,303_6,305_2,305_2,305_2,307_4,307_4,307_4,309_6,309_6,309_6
G,304_1,304_1,304_1,305_3,305_3,305_3,307_5,307_5,307_5,blank,blank,blank
H,304_2,304_2,304_2,305_4,305_4,305_4,307_6,307_6,307_6,TJ1,TJ1,TJ1
