,1,2,3,4,5,6,7,8,9,10,11,12
A,LH_0,LH_1,LH_2,LH_3,lowLH_0,lowLH_1,highLH_0,highLH_1,c_1,c_0,blank,
B,LH_0,LH_1,LH_2,LH_3,lowLH_0,lowLH_1,highLH_0,highLH_1,c_1,c_0,blank,
C,LH_0,LH_1,LH_2,LH_3,lowLH_0,lowLH_1,highLH_0,highLH_1,c_1,c_0,blank,
D,1p_A_pos,1p_A_neg,2p_eq_A_pos,2p_eq_A_neg,2p_half_A_pos,2p_half_A_neg,3p_eq_A_pos,3p_eq_A_neg,3p_third_A_pos,3p_third_A_neg,4p_eq_A_pos,4p_eq_A_neg
E,1p_A_pos,1p_A_neg,2p_eq_A_pos,2p_eq_A_neg,2p_half_A_pos,2p_half_A_neg,3p_eq_A_pos,3p_eq_A_neg,3p_third_A_pos,3p_third_A_neg,4p_eq_A_pos,4p_eq_A_neg
F,1p_A_pos,1p_A_neg,2p_eq_A_pos,2p_eq_A_neg,2p_half_A_pos,2p_half_A_neg,3p_eq_A_pos,3p_eq_A_neg,3p_third_A_pos,3p_third_A_neg,4p_eq_A_pos,4p_eq_A_neg
G,4p_fourth_A_pos,4p_fourth_A_pos,4p_fourth_A_pos,4p_fourth_A_neg,4p_fourth_A_neg,4p_fourth_A_neg,,,,leak,leak,leak
H,,,,,,,,,,,,
