,1,2,3,4,5,6,7,8,9,10,11,12
A,1p_A_pos,1p_A_neg,2p_eq_A_pos,2p_eq_A_neg,2p_half_A_pos,2p_half_A_neg,3p_eq_A_pos,3p_eq_A_neg,3p_third_A_pos,3p_third_A_neg,1p_B_pos,1p_B_neg
B,1p_A_pos,1p_A_neg,2p_eq_A_pos,2p_eq_A_neg,2p_half_A_pos,2p_half_A_neg,3p_eq_A_pos,3p_eq_A_neg,3p_third_A_pos,3p_third_A_neg,1p_B_pos,1p_B_neg
C,1p_A_pos,1p_A_neg,2p_eq_A_pos,2p_eq_A_neg,2p_half_A_pos,2p_half_A_neg,3p_eq_A_pos,3p_eq_A_neg,3p_third_A_pos,3p_third_A_neg,1p_B_pos,1p_B_neg
D,2p_eq_B_pos,2p_eq_B_neg,,,,,,,,,,
E,2p_eq_B_pos,2p_eq_B_neg,,,,,,,,,,
F,2p_eq_B_pos,2p_eq_B_neg,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
